DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,Niue
1/01/2020 0:00,NAN,28,26.5,996.1,0.407,0.231,240,17.3,10.3,
1/01/2020 1:00,NAN,28.1,26.8,996.6,0.292,0.123,233,15.9,6.6,
1/01/2020 2:00,NAN,28.1,26.5,997.1,0.242,0.077,224,14.3,5.8,
1/01/2020 3:00,NAN,28,26.6,997.5,0.202,0.042,223,12.6,4.2,
1/01/2020 4:00,NAN,28,26.1,998.3,0.159,0.003,220,12.5,4.1,
1/01/2020 5:00,NAN,28,26.4,999.1,0.101,-0.047,204,10.5,2.8,
1/01/2020 6:00,NAN,28,26,1000.1,0.057,-0.083,201,10.6,2.4,
1/01/2020 7:00,NAN,28,26.6,1001.1,0.021,-0.109,195,8.2,2,
1/01/2020 8:00,NAN,28.1,26.8,1002,0.007,-0.113,208,9.3,3.7,
1/01/2020 9:00,NAN,28.1,26.6,1002.8,-0.016,-0.127,195,7.4,1.8,
1/01/2020 10:00,NAN,28,NAN,1003.3,-0.005,-0.108,202,6.8,3,
1/01/2020 11:00,NAN,NAN,NAN,1003.2,-0.019,-0.118,184,7.9,2.3,
1/01/2020 12:00,NAN,NAN,NAN,1002.9,-0.017,-0.117,190,5.9,2.4,
1/01/2020 13:00,NAN,NAN,NAN,1002.7,-0.039,-0.142,186,6.5,1.6,
1/01/2020 14:00,NAN,NAN,NAN,1002.5,-0.063,-0.168,193,6.5,2.2,
1/01/2020 15:00,NAN,NAN,NAN,1002.8,-0.066,-0.172,182,8.1,2.3,
1/01/2020 16:00,NAN,NAN,NAN,1003.3,-0.056,-0.159,180,6.4,2.2,
1/01/2020 17:00,NAN,NAN,NAN,1004.2,-0.044,-0.142,174,5.4,1.8,
1/01/2020 18:00,NAN,NAN,NAN,1004.9,-0.042,-0.131,184,5.3,1.8,
1/01/2020 19:00,NAN,NAN,NAN,1005.2,-0.05,-0.132,185,6,1.9,
1/01/2020 20:00,NAN,NAN,NAN,1005,-0.06,-0.14,185,6.9,2.9,
1/01/2020 21:00,NAN,NAN,NAN,1004.9,-0.061,-0.143,206,7.4,2,
1/01/2020 22:00,NAN,NAN,NAN,1004.9,-0.06,-0.144,178,6.7,2.6,
1/01/2020 23:00,NAN,NAN,NAN,1004.5,-0.057,-0.141,215,8.7,3.5,
2/01/2020 0:00,NAN,NAN,NAN,1004.3,-0.035,-0.123,183,7.4,2.3,
2/01/2020 1:00,NAN,NAN,NAN,1004.1,-0.04,-0.129,199,8,2.7,
2/01/2020 2:00,NAN,NAN,NAN,1003.8,-0.064,-0.155,210,7.5,2.8,
2/01/2020 3:00,NAN,NAN,NAN,1003.8,-0.081,-0.175,221,7.9,2.7,
2/01/2020 4:00,NAN,NAN,NAN,1004.3,-0.087,-0.181,188,8.1,1.8,
2/01/2020 5:00,NAN,NAN,NAN,1005,-0.077,-0.166,160,5.1,1.4,
2/01/2020 6:00,NAN,NAN,NAN,1006,-0.068,-0.149,149,3.1,1,
2/01/2020 7:00,NAN,NAN,NAN,1006.7,-0.063,-0.135,145,2.5,1.4,
2/01/2020 8:00,NAN,NAN,NAN,1007.4,-0.059,-0.124,110,2.8,0.8,
2/01/2020 9:00,NAN,NAN,NAN,1008,-0.019,-0.076,130,2.3,1.1,
2/01/2020 10:00,NAN,NAN,NAN,1008.2,-0.001,-0.053,134,2.3,1.2,
2/01/2020 11:00,NAN,NAN,NAN,1008,-0.012,-0.062,127,2.8,1.1,
2/01/2020 12:00,NAN,NAN,NAN,1007.7,-0.004,-0.056,146,2.2,1.1,
2/01/2020 13:00,NAN,NAN,NAN,1007.1,-0.02,-0.076,140,3.2,1.2,
2/01/2020 14:00,NAN,NAN,NAN,1007,-0.042,-0.104,110,2.2,0.8,
2/01/2020 15:00,NAN,NAN,NAN,1006.9,-0.061,-0.123,104,2.2,0.9,
2/01/2020 16:00,NAN,NAN,NAN,1007,-0.084,-0.147,123,2.3,1.4,
2/01/2020 17:00,NAN,NAN,NAN,1007.7,-0.07,-0.131,108,2.2,1.3,
2/01/2020 18:00,NAN,NAN,NAN,1008.1,-0.089,-0.144,129,2.2,1.3,
2/01/2020 19:00,NAN,NAN,NAN,1008.2,-0.091,-0.142,130,2,0.9,
2/01/2020 20:00,NAN,NAN,NAN,1008.2,-0.099,-0.149,268,3.8,1.1,
2/01/2020 21:00,NAN,NAN,NAN,1008.1,-0.13,-0.18,234,3.6,1.6,
