DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,FSM
1/01/2020 0:00,0.56,27.9,30.4,1012.4,-0.062,-0.074,63,10.1,3.7,
1/01/2020 1:00,0.537,28.3,30.8,1012.1,-0.079,-0.088,84,11.2,5.4,
1/01/2020 2:00,0.565,28.6,30.9,1011,-0.1,-0.111,82,11.5,5.2,
1/01/2020 3:00,0.629,28.7,31,1010,-0.134,-0.157,80,10.9,5,
1/01/2020 4:00,0.731,28.7,30.7,1009.8,-0.161,-0.194,90,10.1,5,
1/01/2020 5:00,0.862,28.7,30,1009.9,-0.168,-0.202,89,9.4,4.5,
1/01/2020 6:00,0.988,28.7,29.4,1010,-0.153,-0.186,91,7.9,3.5,
1/01/2020 7:00,1.064,28.7,28,1010.6,-0.133,-0.165,67,7,3.3,
1/01/2020 8:00,1.066,28.7,28,1011.1,-0.115,-0.141,71,6.4,2.8,
1/01/2020 9:00,1.004,28.6,26.3,1011.8,-0.093,-0.113,83,10.4,3.7,
1/01/2020 10:00,0.878,28.7,27.1,1012.1,-0.08,-0.094,78,8.2,3.9,
1/01/2020 11:00,0.707,28.7,27.4,1012.2,-0.089,-0.1,82,8.3,4.4,
1/01/2020 12:00,0.614,28.7,27.2,1012.2,-0.035,-0.045,83,9.2,3.6,
1/01/2020 13:00,0.586,28.7,26.4,1012.4,0.043,0.033,91,8.9,3.6,
1/01/2020 14:00,0.459,28.7,27.2,1012,-0.037,-0.045,74,7.7,3.4,
1/01/2020 15:00,0.409,28.7,26.9,1011.4,-0.099,-0.111,78,7.9,4.4,
1/01/2020 16:00,0.423,28.7,27.4,1010.8,-0.144,-0.163,71,8.2,3,
1/01/2020 17:00,0.49,28.7,27.6,1010.7,-0.165,-0.19,62,8.9,4.2,
1/01/2020 18:00,0.59,28.7,27.4,1010.7,-0.16,-0.185,67,9.7,3.3,
1/01/2020 19:00,0.66,28.7,27.4,1010.8,-0.163,-0.188,70,7.9,3.7,
1/01/2020 20:00,0.734,28.6,27.6,1011.2,-0.126,-0.15,68,7.8,3.9,
1/01/2020 21:00,0.725,28.6,27.9,1011.7,-0.133,-0.153,69,8,3.8,
1/01/2020 22:00,0.687,28.5,28.6,1011.9,-0.139,-0.154,70,7.9,4.2,
1/01/2020 23:00,0.657,28.5,28.8,1012.1,-0.116,-0.129,64,7.7,4.5,
2/01/2020 0:00,0.634,28.5,29.1,1011.8,-0.089,-0.101,57,8.3,4,
2/01/2020 1:00,0.657,28.5,27.3,1011.3,-0.041,-0.056,64,10.5,5.5,
2/01/2020 2:00,0.705,28.5,29.2,1010.3,-0.003,-0.023,59,9.2,3.7,
2/01/2020 3:00,0.731,28.6,27.8,1009.2,-0.026,-0.056,57,8.6,4.1,
2/01/2020 4:00,0.763,28.6,28.8,1008.5,-0.072,-0.113,62,8.7,4.3,
2/01/2020 5:00,0.802,28.6,28.3,1008.3,-0.126,-0.174,62,8.8,3.2,
2/01/2020 6:00,0.885,28.6,27.5,1008.4,-0.132,-0.181,73,9.6,4.1,
2/01/2020 7:00,0.991,28.6,27.6,1008.8,-0.089,-0.136,69,9.5,4.1,
2/01/2020 8:00,1.019,28.6,27.4,1009.1,-0.075,-0.119,65,7.8,4.6,
2/01/2020 9:00,0.971,28.6,27.8,1009.8,-0.085,-0.126,58,8.7,3.4,
2/01/2020 10:00,0.903,28.7,27.5,1010.3,-0.068,-0.102,51,9.2,2.8,
2/01/2020 11:00,0.865,28.6,27.7,1010.4,0.011,-0.018,66,7,2.2,
2/01/2020 12:00,0.832,28.5,27.3,1010.1,0.103,0.074,74,6.3,3.3,
2/01/2020 13:00,0.647,28.6,27.5,1009.7,0.02,-0.011,86,6.9,2.6,
2/01/2020 14:00,0.539,28.6,27,1009.2,-0.023,-0.058,80,7.4,4.5,
